Unnamed: 0,price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood,square_meters_price
16,1500,4.0,3.0,True,False,129.0,,Horta- Guinardo,11.627906976744184
57,2700,4.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946
63,2700,3.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946
78,710,1.0,1.0,True,False,90.0,,Sants-Montjuïc,7.888888888888889
83,590,0.0,1.0,False,False,46.0,,Ciutat Vella,12.826086956521738
135,2700,3.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946
136,1600,0.0,1.0,True,False,60.0,,Eixample,26.666666666666668
213,1100,1.0,1.0,True,False,110.0,,Ciutat Vella,10.0
248,1835,1.0,1.0,True,False,59.0,,Gràcia,31.10169491525424
288,3800,3.0,4.0,True,False,218.0,,Eixample,17.431192660550458
319,3200,4.0,3.0,True,True,200.0,,Sarria-Sant Gervasi,16.0
340,3000,3.0,3.0,True,True,174.0,,Ciutat Vella,17.24137931034483
342,2600,3.0,2.0,False,True,136.0,,Sant Martí,19.11764705882353
362,900,1.0,1.0,False,True,47.0,,Sants-Montjuïc,19.148936170212767
393,550,1.0,1.0,False,False,38.0,,Horta- Guinardo,14.473684210526317
397,4600,4.0,4.0,True,True,270.0,,Sarria-Sant Gervasi,17.037037037037038
406,620,0.0,1.0,True,False,29.0,,Les Corts,21.379310344827587
417,1650,3.0,3.0,True,False,85.0,,Eixample,19.41176470588235
437,520,1.0,1.0,True,False,25.0,,Ciutat Vella,20.8
450,1900,2.0,2.0,True,False,85.0,,Sant Martí,22.352941176470587
454,2520,3.0,2.0,True,False,193.0,,Sant Martí,13.05699481865285
474,1700,2.0,1.0,True,True,90.0,,Les Corts,18.88888888888889
501,1600,0.0,1.0,True,False,60.0,,Eixample,26.666666666666668
504,2400,3.0,2.0,True,False,140.0,,Sarria-Sant Gervasi,17.142857142857142
506,2500,3.0,3.0,True,False,140.0,,Sarria-Sant Gervasi,17.857142857142858
507,2700,3.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946
523,850,0.0,1.0,False,False,60.0,,Ciutat Vella,14.166666666666666
527,3000,4.0,3.0,True,True,130.0,,Eixample,23.07692307692308
529,1850,2.0,3.0,True,False,150.0,,Les Corts,12.333333333333334
540,1600,1.0,1.0,True,False,70.0,,Eixample,22.857142857142858
576,900,1.0,1.0,True,False,56.0,,Sant Martí,16.071428571428573
606,1950,3.0,2.0,False,False,140.0,,Les Corts,13.928571428571429
620,1390,2.0,1.0,True,False,78.0,,Sant Martí,17.82051282051282
621,900,2.0,1.0,False,False,50.0,,Eixample,18.0
676,800,1.0,1.0,False,False,51.0,,Gràcia,15.68627450980392
721,1325,3.0,2.0,True,True,106.0,,Sant Andreu,12.5
734,995,3.0,2.0,False,True,110.0,,Sants-Montjuïc,9.045454545454543
740,900,1.0,1.0,True,False,46.0,,Eixample,19.565217391304348
780,980,1.0,1.0,False,True,90.0,,Gràcia,10.88888888888889
888,2950,4.0,2.0,True,True,180.0,,Eixample,16.38888888888889
900,2200,2.0,1.0,True,False,110.0,,Eixample,20.0
901,3000,4.0,2.0,True,True,112.0,,Eixample,26.785714285714285
943,1550,2.0,1.0,True,True,109.0,,Sant Martí,14.220183486238533
944,1250,1.0,2.0,True,True,85.0,,Sarria-Sant Gervasi,14.705882352941176
953,800,1.0,1.0,False,False,60.0,,Gràcia,13.333333333333334
1032,2700,3.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946
1037,1700,2.0,1.0,True,False,85.0,,Sarria-Sant Gervasi,20.0
1074,900,2.0,2.0,True,True,54.0,,Sants-Montjuïc,16.666666666666668
1089,2700,4.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946
1099,2400,3.0,3.0,True,False,140.0,,Sarria-Sant Gervasi,17.142857142857142
1100,2300,3.0,2.0,True,False,140.0,,Sarria-Sant Gervasi,16.428571428571427
1122,3200,3.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,37.64705882352941
1123,2700,4.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946
1125,2800,1.0,1.0,True,False,75.0,,Gràcia,37.333333333333336
1127,3200,3.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,37.64705882352941
1288,1950,1.0,2.0,False,True,176.0,,Ciutat Vella,11.079545454545457
1332,875,1.0,2.0,False,False,80.0,,Gràcia,10.9375
1374,2800,4.0,3.0,True,True,175.0,,Sarria-Sant Gervasi,16.0
1416,3600,3.0,4.0,True,True,211.0,,Eixample,17.061611374407583
1422,1300,2.0,1.0,False,False,80.0,,Sant Martí,16.25
1527,700,0.0,1.0,True,False,40.0,,Sarria-Sant Gervasi,17.5
1549,1000,1.0,1.0,True,False,55.0,,Sant Martí,18.181818181818183
1553,1000,1.0,1.0,True,False,55.0,,Sant Martí,18.181818181818183
1581,600,1.0,1.0,True,False,20.0,,Sants-Montjuïc,30.0
1615,750,1.0,1.0,False,False,43.0,,Ciutat Vella,17.441860465116278
1731,1150,1.0,2.0,False,False,63.0,,Sarria-Sant Gervasi,18.253968253968253
1754,650,0.0,1.0,False,False,35.0,,Ciutat Vella,18.571428571428573
1786,930,1.0,1.0,True,True,65.0,,Eixample,14.307692307692308
1818,650,0.0,1.0,True,False,38.0,,Eixample,17.105263157894736
1860,930,2.0,1.0,True,False,100.0,,Sants-Montjuïc,9.3
1868,2400,3.0,3.0,True,False,140.0,,Sarria-Sant Gervasi,17.142857142857142
1967,2800,3.0,3.0,True,False,170.0,,Sarria-Sant Gervasi,16.470588235294116
2051,1150,3.0,2.0,True,False,100.0,,Les Corts,11.5
2055,700,0.0,1.0,True,False,35.0,,Ciutat Vella,20.0
2106,665,0.0,1.0,True,False,36.0,,Gràcia,18.47222222222222
2140,750,1.0,1.0,True,False,63.0,,Sarria-Sant Gervasi,11.904761904761903
2154,800,1.0,1.0,False,False,60.0,,Gràcia,13.333333333333334
2160,2300,3.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,27.058823529411764
2161,1012,2.0,2.0,True,False,80.0,,Sant Andreu,12.65
2163,1700,2.0,1.0,True,False,85.0,,Sarria-Sant Gervasi,20.0
2165,2500,3.0,2.0,True,False,140.0,,Sarria-Sant Gervasi,17.857142857142858
2194,2400,3.0,3.0,True,False,140.0,,Sarria-Sant Gervasi,17.142857142857142
2217,1472,3.0,1.0,False,True,150.0,,Sant Andreu,9.813333333333333
2221,780,1.0,1.0,True,False,45.0,,Horta- Guinardo,17.333333333333332
2262,1400,1.0,1.0,True,False,91.0,,Ciutat Vella,15.384615384615383
2285,1875,2.0,2.0,True,True,80.0,,Sant Martí,23.4375
2295,1292,2.0,2.0,True,False,105.0,,Ciutat Vella,12.304761904761904
2314,950,1.0,1.0,False,False,37.0,,Ciutat Vella,25.67567567567568
2319,2900,3.0,3.0,True,True,132.0,,Eixample,21.96969696969697
2324,1350,1.0,1.0,False,False,40.0,,Ciutat Vella,33.75
2328,1500,1.0,1.0,False,False,90.0,,Gràcia,16.666666666666668
2368,650,1.0,1.0,False,False,38.0,,Eixample,17.105263157894736
2447,1150,1.0,1.0,True,False,55.0,,Sarria-Sant Gervasi,20.90909090909091
2449,800,1.0,1.0,True,False,43.0,,Sarria-Sant Gervasi,18.6046511627907
2450,1100,1.0,1.0,False,False,70.0,,Sarria-Sant Gervasi,15.714285714285714
2494,2300,3.0,2.0,True,False,140.0,,Sarria-Sant Gervasi,16.428571428571427
2497,2400,3.0,3.0,True,False,140.0,,Sarria-Sant Gervasi,17.142857142857142
2500,2500,3.0,3.0,True,False,140.0,,Sarria-Sant Gervasi,17.857142857142858
2510,895,0.0,1.0,False,False,45.0,,Ciutat Vella,19.88888888888889
2519,625,0.0,1.0,False,False,45.0,,Ciutat Vella,13.88888888888889
2671,2500,2.0,3.0,False,True,130.0,,Sant Martí,19.23076923076923
2767,650,1.0,1.0,True,False,35.0,,Ciutat Vella,18.571428571428573
2784,745,1.0,1.0,False,False,50.0,,Ciutat Vella,14.9
2972,695,0.0,2.0,True,False,78.0,,Horta- Guinardo,8.91025641025641
2994,800,1.0,2.0,True,False,80.0,,Sants-Montjuïc,10.0
3073,2700,4.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946
3077,2700,4.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946
3079,2800,1.0,1.0,True,False,75.0,,Gràcia,37.333333333333336
3152,1700,2.0,1.0,True,False,85.0,,Sarria-Sant Gervasi,20.0
3154,2700,4.0,2.0,True,False,85.0,,Sarria-Sant Gervasi,31.764705882352946
3175,595,0.0,1.0,True,False,30.0,,Gràcia,19.83333333333333
3197,1150,1.0,1.0,False,False,47.0,,Sarria-Sant Gervasi,24.46808510638298
3225,4500,4.0,3.0,True,True,256.0,,Sarria-Sant Gervasi,17.578125
3296,850,1.0,1.0,True,False,48.0,,Ciutat Vella,17.708333333333332
3298,1300,1.0,1.0,True,False,55.0,,Ciutat Vella,23.63636363636364
3318,5500,3.0,2.0,True,False,100.0,,Gràcia,55.0
3320,2500,3.0,3.0,True,False,140.0,,Sarria-Sant Gervasi,17.857142857142858
3349,850,1.0,1.0,True,False,40.0,,Ciutat Vella,21.25
3352,2400,3.0,3.0,True,False,120.0,,Sarria-Sant Gervasi,20.0
3401,2400,5.0,4.0,True,False,240.0,,Sarria-Sant Gervasi,10.0
3408,1150,2.0,2.0,False,True,115.0,,Gràcia,10.0
3444,1500,2.0,2.0,True,True,85.0,,Eixample,17.647058823529413
3452,720,0.0,1.0,True,False,32.0,,Sarria-Sant Gervasi,22.5
3471,695,0.0,1.0,False,False,40.0,,Horta- Guinardo,17.375
3504,750,1.0,1.0,False,False,50.0,,Sarria-Sant Gervasi,15.0
3605,1100,1.0,1.0,True,False,45.0,,Ciutat Vella,24.444444444444443
3649,745,0.0,1.0,True,False,38.0,,Sarria-Sant Gervasi,19.605263157894736
3687,625,1.0,1.0,True,False,41.0,,Sants-Montjuïc,15.24390243902439
3749,2650,4.0,2.0,True,False,185.0,,Eixample,14.324324324324325
3756,700,1.0,1.0,True,True,38.0,,Eixample,18.42105263157895
