Unnamed: 0,price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood,square_meters_price
0,750,3.0,1.0,True,False,60.0,flat,Horta- Guinardo,12.5
1,770,2.0,1.0,True,False,59.0,flat,Sant Andreu,13.05084745762712
2,1300,1.0,1.0,True,True,30.0,flat,Gràcia,43.333333333333336
3,2800,1.0,1.0,True,True,70.0,flat,Ciutat Vella,40.0
4,720,2.0,1.0,True,False,44.0,flat,Sant Andreu,16.363636363636363
5,1100,3.0,2.0,False,False,118.0,attic,Horta- Guinardo,9.322033898305085
6,1350,3.0,3.0,True,False,84.0,flat,Sarria-Sant Gervasi,16.071428571428573
7,900,2.0,1.0,True,False,60.0,flat,Sarria-Sant Gervasi,15.0
8,1165,4.0,2.0,True,False,106.0,flat,Horta- Guinardo,10.99056603773585
9,1050,2.0,1.0,True,False,70.0,flat,Les Corts,15.0
10,2500,4.0,2.0,True,False,161.0,flat,Sarria-Sant Gervasi,15.527950310559008
11,1335,2.0,1.0,True,False,55.0,flat,Sant Martí,24.27272727272728
12,2200,4.0,2.0,True,True,175.0,flat,Eixample,12.571428571428571
13,2500,3.0,2.0,True,True,145.0,flat,Sarria-Sant Gervasi,17.24137931034483
14,980,2.0,2.0,True,False,82.0,flat,Eixample,11.951219512195122
15,1050,2.0,1.0,True,False,66.0,flat,Eixample,15.909090909090908
16,1500,4.0,3.0,True,False,129.0,flat,Horta- Guinardo,11.627906976744184
17,1350,3.0,2.0,True,False,95.0,flat,Eixample,14.210526315789474
18,1080,3.0,2.0,True,False,92.0,flat,Gràcia,11.73913043478261
19,2500,3.0,2.0,True,False,130.0,flat,Les Corts,19.23076923076923
20,950,3.0,1.0,True,False,76.0,attic,Horta- Guinardo,12.5
21,850,3.0,2.0,True,False,80.0,flat,Sants-Montjuïc,10.625
22,1800,3.0,2.0,False,False,102.0,flat,Eixample,17.647058823529413
23,2300,2.0,2.0,True,False,150.0,flat,Eixample,15.333333333333334
24,950,4.0,1.0,True,False,90.0,flat,Sants-Montjuïc,10.555555555555555
25,842,3.0,1.0,True,False,68.0,flat,Horta- Guinardo,12.382352941176473
26,1350,3.0,3.0,True,False,84.0,flat,Sarria-Sant Gervasi,16.071428571428573
27,900,2.0,1.0,True,False,60.0,flat,Sarria-Sant Gervasi,15.0
28,1165,4.0,2.0,True,False,106.0,flat,Horta- Guinardo,10.99056603773585
29,1050,2.0,1.0,True,False,70.0,flat,Les Corts,15.0
30,2500,4.0,2.0,True,False,161.0,flat,Sarria-Sant Gervasi,15.527950310559008
31,1335,2.0,1.0,True,False,55.0,flat,Sant Martí,24.27272727272728
32,900,1.0,1.0,True,False,45.0,flat,Eixample,20.0
33,1180,3.0,1.0,True,True,79.0,flat,Eixample,14.936708860759492
34,900,3.0,1.0,True,False,65.0,flat,Les Corts,13.846153846153848
35,1200,4.0,2.0,True,False,116.0,flat,Sarria-Sant Gervasi,10.344827586206897
36,750,1.0,1.0,False,False,45.0,flat,Eixample,16.666666666666668
