price,rooms,bathroom,lift,terrace,square_meters,square_meters_price,real_state_apartment,real_state_attic,real_state_study,neighborhood_Ciutat Vella,neighborhood_Gràcia,neighborhood_Horta- Guinardo,neighborhood_Les Corts,neighborhood_Nou Barris,neighborhood_Sant Andreu,neighborhood_Sant Martí,neighborhood_Sants-Montjuïc,neighborhood_Sarria-Sant Gervasi
750,3,1,1,0,60.0,12.5,0,0,0,0,0,1,0,0,0,0,0,0
770,2,1,1,0,59.0,13.05084745762712,0,0,0,0,0,0,0,0,1,0,0,0
1300,1,1,1,1,30.0,43.333333333333336,0,0,0,0,1,0,0,0,0,0,0,0
2800,1,1,1,1,70.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0
720,2,1,1,0,44.0,16.363636363636363,0,0,0,0,0,0,0,0,1,0,0,0
1100,3,2,0,0,118.0,9.322033898305085,0,1,0,0,0,1,0,0,0,0,0,0
1350,3,3,1,0,84.0,16.071428571428573,0,0,0,0,0,0,0,0,0,0,0,1
900,2,1,1,0,60.0,15.0,0,0,0,0,0,0,0,0,0,0,0,1
1165,4,2,1,0,106.0,10.99056603773585,0,0,0,0,0,1,0,0,0,0,0,0
1050,2,1,1,0,70.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0
2500,4,2,1,0,161.0,15.527950310559008,0,0,0,0,0,0,0,0,0,0,0,1
1335,2,1,1,0,55.0,24.27272727272728,0,0,0,0,0,0,0,0,0,1,0,0
2200,4,2,1,1,175.0,12.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0
2500,3,2,1,1,145.0,17.24137931034483,0,0,0,0,0,0,0,0,0,0,0,1
980,2,2,1,0,82.0,11.951219512195122,0,0,0,0,0,0,0,0,0,0,0,0
1050,2,1,1,0,66.0,15.909090909090908,0,0,0,0,0,0,0,0,0,0,0,0
1500,4,3,1,0,129.0,11.627906976744184,0,0,0,0,0,1,0,0,0,0,0,0
1350,3,2,1,0,95.0,14.210526315789474,0,0,0,0,0,0,0,0,0,0,0,0
1080,3,2,1,0,92.0,11.73913043478261,0,0,0,0,1,0,0,0,0,0,0,0
2500,3,2,1,0,130.0,19.23076923076923,0,0,0,0,0,0,1,0,0,0,0,0
950,3,1,1,0,76.0,12.5,0,1,0,0,0,1,0,0,0,0,0,0
850,3,2,1,0,80.0,10.625,0,0,0,0,0,0,0,0,0,0,1,0
1800,3,2,0,0,102.0,17.647058823529413,0,0,0,0,0,0,0,0,0,0,0,0
2300,2,2,1,0,150.0,15.333333333333334,0,0,0,0,0,0,0,0,0,0,0,0
950,4,1,1,0,90.0,10.555555555555555,0,0,0,0,0,0,0,0,0,0,1,0
842,3,1,1,0,68.0,12.382352941176473,0,0,0,0,0,1,0,0,0,0,0,0
1350,3,3,1,0,84.0,16.071428571428573,0,0,0,0,0,0,0,0,0,0,0,1
900,2,1,1,0,60.0,15.0,0,0,0,0,0,0,0,0,0,0,0,1
1165,4,2,1,0,106.0,10.99056603773585,0,0,0,0,0,1,0,0,0,0,0,0
1050,2,1,1,0,70.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0
