price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood,square_meters_price
750,3,1,True,False,60.0,flat,Horta- Guinardo,12.5
770,2,1,True,False,59.0,flat,Sant Andreu,13.05084745762712
1300,1,1,True,True,30.0,flat,Gràcia,43.333333333333336
2800,1,1,True,True,70.0,flat,Ciutat Vella,40.0
720,2,1,True,False,44.0,flat,Sant Andreu,16.363636363636363
1100,3,2,False,False,118.0,attic,Horta- Guinardo,9.322033898305085
1350,3,3,True,False,84.0,flat,Sarria-Sant Gervasi,16.071428571428573
900,2,1,True,False,60.0,flat,Sarria-Sant Gervasi,15.0
1165,4,2,True,False,106.0,flat,Horta- Guinardo,10.99056603773585
1050,2,1,True,False,70.0,flat,Les Corts,15.0
2500,4,2,True,False,161.0,flat,Sarria-Sant Gervasi,15.527950310559008
1335,2,1,True,False,55.0,flat,Sant Martí,24.27272727272728
2200,4,2,True,True,175.0,flat,Eixample,12.571428571428571
2500,3,2,True,True,145.0,flat,Sarria-Sant Gervasi,17.24137931034483
980,2,2,True,False,82.0,flat,Eixample,11.951219512195122
1050,2,1,True,False,66.0,flat,Eixample,15.909090909090908
1500,4,3,True,False,129.0,flat,Horta- Guinardo,11.627906976744184
1350,3,2,True,False,95.0,flat,Eixample,14.210526315789474
1080,3,2,True,False,92.0,flat,Gràcia,11.73913043478261
2500,3,2,True,False,130.0,flat,Les Corts,19.23076923076923
950,3,1,True,False,76.0,attic,Horta- Guinardo,12.5
850,3,2,True,False,80.0,flat,Sants-Montjuïc,10.625
1800,3,2,False,False,102.0,flat,Eixample,17.647058823529413
2300,2,2,True,False,150.0,flat,Eixample,15.333333333333334
950,4,1,True,False,90.0,flat,Sants-Montjuïc,10.555555555555555
842,3,1,True,False,68.0,flat,Horta- Guinardo,12.382352941176473
1350,3,3,True,False,84.0,flat,Sarria-Sant Gervasi,16.071428571428573
900,2,1,True,False,60.0,flat,Sarria-Sant Gervasi,15.0
1165,4,2,True,False,106.0,flat,Horta- Guinardo,10.99056603773585
1050,2,1,True,False,70.0,flat,Les Corts,15.0
2500,4,2,True,False,161.0,flat,Sarria-Sant Gervasi,15.527950310559008
1335,2,1,True,False,55.0,flat,Sant Martí,24.27272727272728
900,1,1,True,False,45.0,flat,Eixample,20.0
1180,3,1,True,True,79.0,flat,Eixample,14.936708860759492
900,3,1,True,False,65.0,flat,Les Corts,13.846153846153848
1200,4,2,True,False,116.0,flat,Sarria-Sant Gervasi,10.344827586206897
750,1,1,False,False,45.0,flat,Eixample,16.666666666666668
1400,3,2,True,False,93.0,flat,Sarria-Sant Gervasi,15.053763440860216
852,4,1,True,False,75.0,flat,Sants-Montjuïc,11.36
1250,4,2,True,True,98.0,flat,Eixample,12.755102040816327
750,2,1,False,False,60.0,flat,Gràcia,12.5
1000,1,1,True,False,60.0,flat,Sarria-Sant Gervasi,16.666666666666668
1250,4,2,True,False,121.0,flat,Eixample,10.330578512396697
900,2,1,True,False,78.0,flat,Sant Martí,11.538461538461538
1600,3,2,True,True,78.0,attic,Gràcia,20.512820512820515
1450,4,2,True,False,177.0,flat,Sant Martí,8.192090395480227
900,2,1,True,False,55.0,flat,Sant Andreu,16.363636363636363
1350,3,2,True,False,76.0,flat,Sant Martí,17.763157894736842
1246,1,1,True,False,51.0,flat,Eixample,24.431372549019606
850,1,1,False,False,45.0,flat,Ciutat Vella,18.88888888888889
750,3,1,True,False,42.0,flat,Gràcia,17.857142857142858
1580,3,2,True,True,110.0,flat,Ciutat Vella,14.363636363636363
1950,4,2,True,True,158.0,flat,Eixample,12.341772151898734
1350,1,1,True,True,60.0,attic,Ciutat Vella,22.5
1060,4,2,True,False,90.0,flat,Sant Andreu,11.77777777777778
1350,3,2,True,False,104.0,flat,Sarria-Sant Gervasi,12.98076923076923
900,4,1,True,False,80.0,flat,Eixample,11.25
2700,4,2,True,False,85.0,flat,Sarria-Sant Gervasi,31.764705882352946
1600,2,2,True,False,100.0,flat,Eixample,16.0
625,2,1,True,False,41.0,flat,Horta- Guinardo,15.24390243902439
2550,2,2,True,False,137.0,flat,Ciutat Vella,18.613138686131386
925,4,2,True,True,101.0,flat,Sant Martí,9.15841584158416
2200,2,2,True,True,79.0,attic,Sant Martí,27.848101265822784
2700,3,2,True,False,85.0,flat,Sarria-Sant Gervasi,31.764705882352946
1290,2,1,True,False,70.0,flat,Les Corts,18.428571428571427
3000,3,2,False,False,150.0,apartment,Eixample,20.0
780,2,1,False,False,62.0,flat,Horta- Guinardo,12.580645161290322
1300,5,3,True,False,130.0,flat,Eixample,10.0
1053,4,2,True,False,95.0,flat,Sant Martí,11.08421052631579
1250,1,1,False,False,35.0,apartment,Eixample,35.714285714285715
650,1,1,False,False,55.0,flat,Ciutat Vella,11.818181818181818
1500,4,2,True,False,150.0,flat,Eixample,10.0
1190,4,2,True,False,130.0,flat,Eixample,9.153846153846152
660,2,1,False,False,46.0,flat,Sant Andreu,14.347826086956522
1585,4,2,True,True,123.0,flat,Sarria-Sant Gervasi,12.886178861788618
950,4,1,True,False,79.0,flat,Sant Andreu,12.025316455696204
1850,3,3,True,False,140.0,flat,Sarria-Sant Gervasi,13.214285714285714
1080,3,1,True,False,72.0,flat,Sant Martí,15.0
710,1,1,True,False,90.0,flat,Sants-Montjuïc,7.888888888888889
2200,4,2,False,False,90.0,apartment,Gràcia,24.444444444444443
3468,3,2,False,False,98.0,apartment,Ciutat Vella,35.38775510204081
1100,1,1,True,False,45.0,apartment,Les Corts,24.444444444444443
1700,2,2,True,False,73.0,flat,Sant Martí,23.28767123287671
590,1,1,False,False,46.0,flat,Ciutat Vella,12.826086956521738
